num_jobs,job_combinations,solve_time1_millis,setup_time1_millis,total_time1_millis,solve_time2_millis,setup_time2_millis,total_time2_millis
12,78,1.631869,0.433504,2.065373,0.0,0.0,0.0
11,66,1.0106220000000001,0.301815,1.312437,0.0,0.0,0.0
8,36,0.562804,0.150917,0.7137209999999999,0.0,0.0,0.0
7,28,0.431297,0.10914399999999999,0.540441,0.0,0.0,0.0
6,21,0.336182,0.08287499999999999,0.41905699999999996,0.0,0.0,0.0
5,15,0.231427,0.083302,0.314729,0.0,0.0,0.0
4,10,0.165792,0.055137,0.220929,0.0,0.0,0.0
3,6,0.10256,0.069689,0.17224899999999999,0.0,0.0,0.0
2,3,0.058836,0.052736,0.111572,0.0,0.0,0.0
1,1,0.023227,0.022612,0.045839000000000005,0.0,0.0,0.0
67,2278,142.477577,16.010195000000003,158.487772,0.0,0.0,0.0
66,2211,129.74759899999998,14.875055,144.62265399999998,0.0,0.0,0.0
59,1770,416.633391,11.334715000000001,427.96810600000003,0.0,0.0,0.0
56,1596,63.56134300000001,9.617415000000001,73.17875800000002,0.0,0.0,0.0
49,1225,46.596897999999996,6.598901,53.195798999999994,0.0,0.0,0.0
47,1128,39.855158,5.627838,45.482996,0.0,0.0,0.0
44,990,33.991583999999996,4.706456,38.69804,0.0,0.0,0.0
40,820,31.900744000000003,3.8732670000000002,35.774011,0.0,0.0,0.0
36,666,22.25767,3.0070409999999996,25.264711000000002,0.0,0.0,0.0
34,595,17.632160000000002,5.967073,23.599233,0.0,0.0,0.0
33,561,15.664902000000001,5.420077,21.084979,0.0,0.0,0.0
30,465,12.174750999999999,4.166321,16.341071999999997,0.0,0.0,0.0
29,435,10.347024,3.7048430000000003,14.051867,0.0,0.0,0.0
27,378,9.113797,3.008484,12.122281000000001,0.0,0.0,0.0
26,351,8.246582,2.515718,10.7623,0.0,0.0,0.0
25,325,7.539715,2.264743,9.804458,0.0,0.0,0.0
24,300,7.424148000000001,2.018162,9.44231,0.0,0.0,0.0
23,276,6.308013000000001,1.780307,8.088320000000001,0.0,0.0,0.0
22,253,5.379955,1.617825,6.99778,0.0,0.0,0.0
21,231,5.0034279999999995,1.4348889999999999,6.438317,0.0,0.0,0.0
19,190,4.056205,1.132204,5.188409,0.0,0.0,0.0
18,171,3.55601,1.025379,4.581389,0.0,0.0,0.0
17,153,3.16988,0.881714,4.051594,0.0,0.0,0.0
16,136,3.276077,0.781658,4.057735,0.0,0.0,0.0
15,120,2.3219209999999997,0.6798919999999999,3.0018129999999994,0.0,0.0,0.0
14,105,2.072427,0.556035,2.628462,0.0,0.0,0.0
13,91,1.6135380000000001,0.470814,2.084352,0.0,0.0,0.0
12,78,1.447225,0.397948,1.845173,0.0,0.0,0.0
11,66,1.155305,0.353692,1.508997,0.0,0.0,0.0
10,55,1.007167,0.30050699999999997,1.307674,0.0,0.0,0.0
9,45,0.8288030000000001,0.233533,1.0623360000000002,0.0,0.0,0.0
8,36,0.6230129999999999,0.191482,0.814495,0.0,0.0,0.0
7,28,0.49458599999999997,0.15584299999999998,0.6504289999999999,0.0,0.0,0.0
6,21,0.36998400000000004,0.12459600000000001,0.49458,0.0,0.0,0.0
5,15,0.28568899999999997,0.106097,0.39178599999999997,0.0,0.0,0.0
4,10,0.164825,0.07813999999999999,0.242965,0.0,0.0,0.0
3,6,0.088347,0.051603,0.13995,0.0,0.0,0.0
2,3,0.052849999999999994,0.032002,0.084852,0.0,0.0,0.0
1,1,0.032373000000000006,0.020101,0.05247400000000001,0.0,0.0,0.0
23,276,7.951474999999999,1.7516289999999999,9.703104,0.0,0.0,0.0
22,253,4.891766,1.526839,6.4186049999999994,0.0,0.0,0.0
19,190,5.1800559999999995,1.0251970000000001,6.205253,0.0,0.0,0.0
17,153,2.952179,0.778475,3.7306540000000004,0.0,0.0,0.0
16,136,3.516258,0.715111,4.231369,0.0,0.0,0.0
15,120,2.426361,0.6019009999999999,3.028262,0.0,0.0,0.0
14,105,2.416802,0.50218,2.918982,0.0,0.0,0.0
13,91,1.0411890000000001,0.436392,1.4775810000000003,0.0,0.0,0.0
12,78,1.449708,0.37289,1.822598,0.0,0.0,0.0
11,66,1.2250519999999998,0.326761,1.5518129999999999,0.0,0.0,0.0
10,55,0.825001,0.24428,1.069281,0.0,0.0,0.0
9,45,0.726844,0.200323,0.9271670000000001,0.0,0.0,0.0
8,36,0.640826,0.184754,0.82558,0.0,0.0,0.0
7,28,0.44932700000000003,0.126711,0.576038,0.0,0.0,0.0
6,21,0.34686100000000003,0.09560500000000001,0.442466,0.0,0.0,0.0
5,15,0.23230599999999998,0.087417,0.319723,0.0,0.0,0.0
4,10,0.174962,0.06900200000000001,0.24396400000000001,0.0,0.0,0.0
3,6,0.09715199999999999,0.051655,0.148807,0.0,0.0,0.0
2,3,0.053182,0.02753,0.080712,0.0,0.0,0.0
1,1,0.028078000000000002,0.01794,0.046018,0.0,0.0,0.0
45,1035,50.54329,5.879322999999999,56.422613,0.0,0.0,0.0
44,990,41.417922000000004,5.5173239999999995,46.93524600000001,0.0,0.0,0.0
38,741,19.494761999999998,3.916609,23.411371,0.0,0.0,0.0
35,630,28.201357,4.628852,32.830209,0.0,0.0,0.0
32,528,21.805996,8.04297,29.848966,0.0,0.0,0.0
30,465,12.333302000000002,4.004454999999999,16.337757,0.0,0.0,0.0
29,435,13.76537,3.6475750000000002,17.412945,0.0,0.0,0.0
26,351,13.909143,2.696158,16.605301,0.0,0.0,0.0
25,325,8.121371,2.395785,10.517156,0.0,0.0,0.0
23,276,4.180719,1.972424,6.153143,0.0,0.0,0.0
22,253,5.821723,1.7498520000000002,7.571575000000001,0.0,0.0,0.0
21,231,4.8461490000000005,2.3226929999999997,7.168842,0.0,0.0,0.0
20,210,4.866611,1.349301,6.215911999999999,0.0,0.0,0.0
19,190,4.335063,1.1129499999999999,5.4480129999999996,0.0,0.0,0.0
18,171,4.537155,0.9850849999999999,5.52224,0.0,0.0,0.0
17,153,3.075652,0.857406,3.933058,0.0,0.0,0.0
16,136,2.824172,0.7330709999999999,3.5572429999999997,0.0,0.0,0.0
15,120,2.3990370000000003,0.637738,3.0367750000000004,0.0,0.0,0.0
14,105,2.135162,0.5335,2.668662,0.0,0.0,0.0
13,91,1.745192,0.458702,2.203894,0.0,0.0,0.0
12,78,1.525617,0.404866,1.930483,0.0,0.0,0.0
11,66,1.306458,0.331866,1.638324,0.0,0.0,0.0
10,55,1.014736,0.30883499999999997,1.323571,0.0,0.0,0.0
9,45,0.7440800000000001,0.24950299999999997,0.9935830000000001,0.0,0.0,0.0
8,36,0.622905,0.20189900000000002,0.8248040000000001,0.0,0.0,0.0
7,28,0.500803,0.15618100000000001,0.656984,0.0,0.0,0.0
6,21,0.339974,0.115334,0.455308,0.0,0.0,0.0
5,15,0.27798100000000003,0.101327,0.37930800000000003,0.0,0.0,0.0
4,10,0.16301400000000002,0.0618,0.224814,0.0,0.0,0.0
3,6,0.098845,0.051998,0.150843,0.0,0.0,0.0
2,3,0.056638999999999995,0.031913,0.08855199999999999,0.0,0.0,0.0
1,1,0.033391,0.021895,0.055286,0.0,0.0,0.0
1,1,0.047923999999999994,0.045397,0.09332099999999999,0.0,0.0,0.0
100,5050,396.835143,44.739402,441.574545,0.0,0.0,0.0
